id_lot;nb_piece;typologie;prix_tva_reduite;prix_tva_normale;prix_HT;prix_m2_HT;prix_m2_TTC;surface;etage;orientation;exterieur;balcony;garden;parking;nom_programme;ville;departement;date_fin_programme;adresse_entiere;promoteur;date_extraction
67_1_InspiR'_Bouygues;3;Appartement;;245500;204583.33;3032.21;3638.65;67.47;1;SE;FALSE;TRUE;FALSE;1;InspiR';Dom̬ne;38;fevrier 2024;83 rue des brassi̬res 38420 Dom̬ne;Bouygues;08/11/2021
63_2_InspiR'_Bouygues;3;Appartement;;247000;205833.33;3238.92;3886.7;63.55;2;SO;FALSE;FALSE;FALSE;1;InspiR';Dom̬ne;38;fevrier 2024;83 rue des brassi̬res 38420 Dom̬ne;Bouygues;08/11/2021
63_2__1_InspiR'_Bouygues;3;Appartement;;262000;218333.33;3431.3;4117.55;63.63;2;SE;FALSE;FALSE;FALSE;1;InspiR';Dom̬ne;38;fevrier 2024;83 rue des brassi̬res 38420 Dom̬ne;Bouygues;08/11/2021
63_2__2_InspiR'_Bouygues;3;Appartement;;273500;227916.67;3583.6;4300.31;63.6;2;SE;TRUE;FALSE;FALSE;1;InspiR';Dom̬ne;38;fevrier 2024;83 rue des brassi̬res 38420 Dom̬ne;Bouygues;08/11/2021
82_1_InspiR'_Bouygues;4;Appartement;;282000;235000;2841.6;3409.92;82.7;1;SO;FALSE;TRUE;FALSE;0;InspiR';Dom̬ne;38;fevrier 2024;83 rue des brassi̬res 38420 Dom̬ne;Bouygues;08/11/2021
82_2_InspiR'_Bouygues;4;Appartement;;310000;258333.33;3123.74;3748.49;82.7;2;SO;FALSE;FALSE;FALSE;1;InspiR';Dom̬ne;38;fevrier 2024;83 rue des brassi̬res 38420 Dom̬ne;Bouygues;08/11/2021
89_1_InspiR'_Bouygues;4;Appartement;;312000;260000;2907.63;3489.15;89.42;1;SE;FALSE;FALSE;FALSE;1;InspiR';Dom̬ne;38;fevrier 2024;83 rue des brassi̬res 38420 Dom̬ne;Bouygues;08/11/2021
89_InspiR'_Bouygues;4;Appartement;;322000;268333.33;3000.82;3600.98;89.42;0;SE;FALSE;FALSE;FALSE;1;InspiR';Dom̬ne;38;fevrier 2024;83 rue des brassi̬res 38420 Dom̬ne;Bouygues;08/11/2021
89__1_InspiR'_Bouygues;4;Appartement;;327000;272500;3048.1;3657.72;89.4;0;SE;FALSE;FALSE;FALSE;1;InspiR';Dom̬ne;38;fevrier 2024;83 rue des brassi̬res 38420 Dom̬ne;Bouygues;08/11/2021
43_1_PRELUDE_Bouygues;2;Appartement;;245900;204916.67;4703.16;5643.79;43.57;1;E;FALSE;FALSE;FALSE;1;PRELUDE;Lyon;69;aout 2024;280 BOULEVARD PINEL 69008 Lyon;Bouygues;08/11/2021
43_2_PRELUDE_Bouygues;2;Appartement;;249900;208250;4779.66;5735.6;43.57;2;O;FALSE;FALSE;FALSE;1;PRELUDE;Lyon;69;aout 2024;280 BOULEVARD PINEL 69008 Lyon;Bouygues;08/11/2021
40_PRELUDE_Bouygues;2;Maison;;250900;209083.33;5120.83;6144.99;40.83;;S;FALSE;FALSE;FALSE;1;PRELUDE;Lyon;69;aout 2024;280 BOULEVARD PINEL 69008 Lyon;Bouygues;08/11/2021
43_3_PRELUDE_Bouygues;2;Appartement;;254500;212083.33;4867.65;5841.18;43.57;3;E;FALSE;FALSE;FALSE;1;PRELUDE;Lyon;69;aout 2024;280 BOULEVARD PINEL 69008 Lyon;Bouygues;08/11/2021
44_2_PRELUDE_Bouygues;2;Appartement;;263500;219583.33;4973.57;5968.29;44.15;2;NE;FALSE;FALSE;FALSE;1;PRELUDE;Lyon;69;aout 2024;280 BOULEVARD PINEL 69008 Lyon;Bouygues;08/11/2021
40_4_PRELUDE_Bouygues;2;Appartement;;265500;221250;5401.61;6481.93;40.96;4;O;FALSE;FALSE;FALSE;1;PRELUDE;Lyon;69;aout 2024;280 BOULEVARD PINEL 69008 Lyon;Bouygues;08/11/2021
44_3_PRELUDE_Bouygues;2;Appartement;;266500;222083.33;5030.2;6036.24;44.15;3;NE;FALSE;FALSE;FALSE;1;PRELUDE;Lyon;69;aout 2024;280 BOULEVARD PINEL 69008 Lyon;Bouygues;08/11/2021
46_3_PRELUDE_Bouygues;2;Appartement;;272500;227083.33;4882.46;5858.96;46.51;3;O;FALSE;FALSE;FALSE;1;PRELUDE;Lyon;69;aout 2024;280 BOULEVARD PINEL 69008 Lyon;Bouygues;08/11/2021
